Saved path: toy_store, noodle_house, grocery_store, dentist, craft_shop, gym, pizzeria, bank, music_store, gelateria, bakery, pet_store, bike_shop, jewelry_store, barber_shop : 52949
Saved path: cafe, dentist, grocery_store, clothing_store, toy_store, gym, florist, music_store, gelateria, party_store, salon, bakery, pet_store, burger_joint, bookstore : 47805
Saved path: grocery_store, dentist, bank, music_store, party_store, salon, bike_shop, bakery, barber_shop, jewelry_store, hardware_store, toy_store, noodle_house, tech_shop, clothing_store : 40971
Saved path: pet_store, bakery, salon, jewelry_store, party_store, music_store, bank, pizzeria, craft_shop, dentist, cafe, clothing_store, toy_store, burger_joint, gym : 49379
Saved path: music_store, party_store, salon, bakery, barber_shop, jewelry_store, hardware_store, gym, toy_store, clothing_store, tech_shop, bookstore, cafe, dentist, florist : 42557
Saved path: bakery, pet_store, bike_shop, party_store, pharmacy, gelateria, craft_shop, dentist, cafe, bookstore, clothing_store, noodle_house, toy_store, hardware_store, jewelry_store : 47595
Saved path: party_store, bakery, bike_shop, hardware_store, toy_store, noodle_house, clothing_store, grocery_store, cafe, bookstore, pizzeria, craft_shop, bank, florist, music_store : 32177
Saved path: tech_shop, burger_joint, bakery, pet_store, salon, jewelry_store, party_store, gelateria, florist, craft_shop, dentist, cafe, grocery_store, clothing_store, toy_store : 44298
Saved path: gelateria, music_store, pizzeria, gym, burger_joint, bookstore, grocery_store, tech_shop, toy_store, barber_shop, jewelry_store, salon, pet_store, bakery, pharmacy : 47926
Saved path: pet_store, bike_shop, salon, jewelry_store, toy_store, noodle_house, clothing_store, grocery_store, dentist, craft_shop, pizzeria, gelateria, pharmacy, party_store, bakery : 45133
Saved path: hardware_store, jewelry_store, pet_store, bike_shop, salon, pharmacy, gelateria, music_store, florist, craft_shop, pizzeria, bookstore, grocery_store, noodle_house, toy_store : 44938
Saved path: music_store, craft_shop, pizzeria, burger_joint, grocery_store, clothing_store, toy_store, hardware_store, jewelry_store, barber_shop, bakery, pet_store, bike_shop, party_store, gelateria : 48268
Saved path: bank, florist, gelateria, pharmacy, salon, bike_shop, pet_store, bakery, barber_shop, toy_store, grocery_store, dentist, bookstore, gym, craft_shop : 51045
Saved path: craft_shop, bank, gelateria, music_store, pet_store, bakery, jewelry_store, barber_shop, toy_store, hardware_store, gym, pizzeria, bookstore, cafe, dentist : 52675
