Saved path: clothing_store, grocery_store, bookstore, craft_shop, bank, florist, gelateria, party_store, bakery, jewelry_store, hardware_store, gym, burger_joint, noodle_house, toy_store : 33047
Saved path: pharmacy, gelateria, florist, craft_shop, gym, hardware_store, burger_joint, tech_shop, grocery_store, toy_store, barber_shop, bakery, pet_store, salon, party_store : 44807
Saved path: cafe, grocery_store, clothing_store, toy_store, tech_shop, burger_joint, gym, hardware_store, jewelry_store, pet_store, bike_shop, party_store, pharmacy, music_store, bookstore : 47245
Saved path: bookstore, dentist, grocery_store, toy_store, noodle_house, burger_joint, gym, pet_store, bike_shop, party_store, pharmacy, gelateria, florist, craft_shop, pizzeria : 47691
Saved path: bike_shop, jewelry_store, hardware_store, burger_joint, tech_shop, noodle_house, toy_store, grocery_store, bookstore, craft_shop, florist, music_store, pharmacy, bakery, pet_store : 45359
Saved path: bank, florist, gelateria, pharmacy, bakery, barber_shop, jewelry_store, hardware_store, gym, burger_joint, tech_shop, toy_store, clothing_store, grocery_store, dentist : 38931
Saved path: music_store, florist, bank, craft_shop, pizzeria, gym, hardware_store, burger_joint, grocery_store, noodle_house, toy_store, barber_shop, bakery, pet_store, bike_shop : 49433
Saved path: burger_joint, tech_shop, toy_store, clothing_store, grocery_store, cafe, bookstore, florist, music_store, gelateria, party_store, salon, jewelry_store, hardware_store, gym : 35210
Saved path: bookstore, bank, florist, pharmacy, party_store, bakery, pet_store, hardware_store, gym, toy_store, noodle_house, tech_shop, clothing_store, grocery_store, dentist : 44873
Saved path: bank, florist, gelateria, barber_shop, bakery, pet_store, bike_shop, salon, hardware_store, gym, toy_store, noodle_house, cafe, dentist, craft_shop : 49756
Saved path: tech_shop, burger_joint, gym, jewelry_store, salon, bike_shop, pet_store, bakery, music_store, bank, pizzeria, dentist, cafe, grocery_store, toy_store : 51140
Saved path: toy_store, noodle_house, tech_shop, cafe, bookstore, craft_shop, bank, music_store, gelateria, pharmacy, party_store, salon, bakery, pet_store, hardware_store : 39346
Saved path: noodle_house, toy_store, hardware_store, bike_shop, bakery, party_store, gelateria, music_store, florist, bank, dentist, grocery_store, cafe, bookstore, burger_joint : 38592
Saved path: dentist, grocery_store, bookstore, burger_joint, noodle_house, toy_store, gym, bakery, bike_shop, jewelry_store, party_store, pharmacy, gelateria, bank, craft_shop : 40497
