Saved path: dentist, grocery_store, clothing_store, toy_store, noodle_house, burger_joint, pet_store, bakery, salon, gelateria, bank, craft_shop, pizzeria, bookstore, cafe : 43661
Saved path: hardware_store, burger_joint, noodle_house, toy_store, barber_shop, jewelry_store, bakery, pet_store, bike_shop, salon, pharmacy, music_store, gelateria, pizzeria, gym : 46717
Saved path: bakery, party_store, pharmacy, gelateria, florist, bank, pizzeria, craft_shop, dentist, burger_joint, clothing_store, toy_store, barber_shop, jewelry_store, bike_shop : 38492
Saved path: party_store, gelateria, music_store, bank, pizzeria, gym, toy_store, grocery_store, tech_shop, burger_joint, hardware_store, jewelry_store, salon, bakery, pet_store : 45711
Saved path: jewelry_store, barber_shop, bakery, salon, pharmacy, gelateria, music_store, dentist, cafe, clothing_store, tech_shop, noodle_house, toy_store, gym, hardware_store : 42055
Saved path: pharmacy, bakery, pet_store, barber_shop, toy_store, clothing_store, grocery_store, dentist, bookstore, pizzeria, gym, craft_shop, bank, florist, music_store : 51328
Saved path: party_store, pharmacy, jewelry_store, salon, bakery, pet_store, burger_joint, noodle_house, toy_store, grocery_store, cafe, dentist, craft_shop, gym, hardware_store : 46662
Saved path: bakery, bike_shop, jewelry_store, party_store, pharmacy, gelateria, music_store, florist, pizzeria, bookstore, cafe, dentist, clothing_store, noodle_house, toy_store : 39841
Saved path: gym, toy_store, clothing_store, burger_joint, hardware_store, jewelry_store, bike_shop, bakery, party_store, pharmacy, gelateria, music_store, florist, bank, craft_shop : 36806
Saved path: pet_store, bakery, barber_shop, jewelry_store, hardware_store, toy_store, noodle_house, tech_shop, grocery_store, bookstore, pizzeria, bank, gelateria, pharmacy, party_store : 42820
Saved path: barber_shop, party_store, pharmacy, music_store, florist, pizzeria, cafe, burger_joint, tech_shop, toy_store, hardware_store, salon, bike_shop, pet_store, bakery : 45744
Saved path: clothing_store, grocery_store, cafe, craft_shop, bank, music_store, gelateria, pharmacy, salon, bakery, barber_shop, jewelry_store, hardware_store, toy_store, tech_shop : 35948
