Saved path: hardware_store, burger_joint, cafe, noodle_house, toy_store, barber_shop, bakery, pet_store, bike_shop, salon, party_store, pharmacy, gelateria, craft_shop, gym : 45175
Saved path: pet_store, jewelry_store, gym, burger_joint, noodle_house, toy_store, clothing_store, grocery_store, dentist, bookstore, pizzeria, bank, florist, music_store, bakery : 49860
Saved path: party_store, pharmacy, gelateria, florist, bank, dentist, clothing_store, tech_shop, noodle_house, toy_store, hardware_store, jewelry_store, bakery, pet_store, bike_shop : 45380
Saved path: bank, florist, gym, bakery, pet_store, hardware_store, burger_joint, noodle_house, toy_store, grocery_store, dentist, cafe, bookstore, pizzeria, craft_shop : 41741
Saved path: toy_store, tech_shop, burger_joint, bookstore, cafe, grocery_store, dentist, florist, gelateria, barber_shop, jewelry_store, salon, bakery, pet_store, hardware_store : 49782
Saved path: dentist, grocery_store, clothing_store, tech_shop, noodle_house, toy_store, barber_shop, pet_store, bakery, gelateria, music_store, florist, bank, gym, craft_shop : 50471
Saved path: clothing_store, grocery_store, cafe, dentist, craft_shop, bank, florist, pharmacy, pet_store, bakery, barber_shop, jewelry_store, hardware_store, toy_store, noodle_house : 45931
Saved path: salon, bakery, jewelry_store, gym, toy_store, clothing_store, grocery_store, tech_shop, burger_joint, bookstore, craft_shop, bank, florist, music_store, pharmacy : 34585
Saved path: gym, hardware_store, party_store, salon, bike_shop, pet_store, bakery, barber_shop, toy_store, noodle_house, bookstore, dentist, craft_shop, florist, pizzeria : 49867
Saved path: salon, bakery, barber_shop, toy_store, noodle_house, tech_shop, clothing_store, bookstore, burger_joint, gym, craft_shop, bank, music_store, gelateria, pharmacy : 37172
Saved path: bank, pharmacy, party_store, salon, bakery, barber_shop, hardware_store, burger_joint, toy_store, clothing_store, grocery_store, cafe, dentist, craft_shop, pizzeria : 37177
Saved path: burger_joint, noodle_house, toy_store, grocery_store, cafe, dentist, florist, gelateria, pharmacy, party_store, bakery, pet_store, bike_shop, salon, jewelry_store : 45520
Saved path: craft_shop, dentist, cafe, tech_shop, noodle_house, toy_store, bakery, pet_store, bike_shop, salon, party_store, gelateria, music_store, bank, pizzeria : 44081
Saved path: bakery, pet_store, bike_shop, jewelry_store, hardware_store, gym, burger_joint, noodle_house, clothing_store, bookstore, cafe, dentist, craft_shop, bank, pharmacy : 49091
Saved path: salon, bike_shop, pet_store, hardware_store, gym, burger_joint, tech_shop, noodle_house, toy_store, clothing_store, dentist, craft_shop, pizzeria, florist, party_store : 46237
Saved path: bakery, pet_store, bike_shop, jewelry_store, barber_shop, toy_store, clothing_store, grocery_store, cafe, bookstore, burger_joint, hardware_store, gym, florist, pharmacy : 45958
Saved path: bike_shop, salon, pharmacy, gelateria, music_store, florist, craft_shop, burger_joint, noodle_house, clothing_store, toy_store, hardware_store, jewelry_store, bakery, pet_store : 45508
Saved path: cafe, burger_joint, hardware_store, bakery, pet_store, bike_shop, pharmacy, gelateria, craft_shop, pizzeria, gym, toy_store, noodle_house, tech_shop, grocery_store : 42678
Saved path: florist, music_store, gelateria, pharmacy, pet_store, bakery, salon, jewelry_store, toy_store, noodle_house, tech_shop, grocery_store, cafe, pizzeria, bank : 42148
Saved path: pharmacy, music_store, craft_shop, bookstore, cafe, burger_joint, tech_shop, noodle_house, toy_store, barber_shop, jewelry_store, salon, bike_shop, pet_store, bakery : 43990
Saved path: gym, hardware_store, pharmacy, gelateria, bakery, bike_shop, salon, jewelry_store, barber_shop, toy_store, noodle_house, tech_shop, clothing_store, cafe, burger_joint : 36929
Saved path: bookstore, pizzeria, craft_shop, bank, florist, pharmacy, salon, bakery, jewelry_store, hardware_store, gym, toy_store, clothing_store, dentist, burger_joint : 37905
Saved path: toy_store, barber_shop, bakery, bike_shop, salon, pharmacy, gelateria, florist, gym, burger_joint, cafe, dentist, grocery_store, clothing_store, noodle_house : 40750
Saved path: clothing_store, grocery_store, cafe, bookstore, pizzeria, bank, gelateria, barber_shop, bakery, hardware_store, gym, burger_joint, tech_shop, noodle_house, toy_store : 35867
Saved path: hardware_store, barber_shop, jewelry_store, salon, bakery, gelateria, music_store, florist, pizzeria, bookstore, cafe, dentist, grocery_store, toy_store, gym : 42561
Saved path: clothing_store, tech_shop, noodle_house, toy_store, barber_shop, jewelry_store, salon, bike_shop, pet_store, bakery, music_store, florist, craft_shop, gym, bookstore : 48420
Saved path: hardware_store, jewelry_store, bakery, pet_store, bike_shop, party_store, pharmacy, florist, dentist, cafe, grocery_store, toy_store, noodle_house, burger_joint, gym : 48251
Saved path: toy_store, barber_shop, jewelry_store, pet_store, bakery, party_store, gelateria, florist, gym, pizzeria, craft_shop, dentist, bookstore, tech_shop, noodle_house : 48993
Saved path: pizzeria, bookstore, tech_shop, clothing_store, toy_store, gym, pet_store, bakery, salon, party_store, pharmacy, gelateria, florist, bank, craft_shop : 39391
Saved path: dentist, grocery_store, clothing_store, toy_store, gym, hardware_store, bakery, salon, pharmacy, gelateria, music_store, florist, bank, pizzeria, craft_shop : 35442
